Text Length,Pattern Length,Algorithm,Average Time (s),Min Time (s),Max Time (s)
2034,42,KMP,0.0002030014991760254,0.0001571178436279297,0.00042057037353515625
2034,42,Boyer-Moore,1.4095306396484374e-05,1.3828277587890625e-05,2.193450927734375e-05
2034,42,Brute Force,0.00022439718246459962,0.00015926361083984375,0.00042629241943359375
2034,21,KMP,0.0002532839775085449,0.00015735626220703125,0.0006127357482910156
2034,21,Boyer-Moore,1.7049312591552736e-05,1.6450881958007812e-05,2.2411346435546875e-05
2034,21,Brute Force,0.00017368555068969727,0.00016164779663085938,0.0005412101745605469
2034,10,KMP,0.00017818450927734375,0.000156402587890625,0.0005953311920166016
2034,10,Boyer-Moore,3.065586090087891e-05,2.765655517578125e-05,5.316734313964844e-05
2034,10,Brute Force,0.00018513202667236328,0.00016260147094726562,0.00057220458984375
2034,5,KMP,0.0002099728584289551,0.000156402587890625,0.0005998611450195312
2034,5,Boyer-Moore,4.8444271087646484e-05,4.696846008300781e-05,7.677078247070312e-05
2034,5,Brute Force,0.0001880335807800293,0.00016307830810546875,0.0006318092346191406
2034,24,KMP,0.00019040107727050782,0.00015687942504882812,0.0005862712860107422
2034,24,Boyer-Moore,1.9090175628662108e-05,1.621246337890625e-05,3.647804260253906e-05
2034,24,Brute Force,0.00010808467864990234,0.00010585784912109375,0.00014090538024902344
10073,42,KMP,0.0008776140213012695,0.0007836818695068359,0.0019085407257080078
10073,42,Boyer-Moore,5.653142929077149e-05,4.220008850097656e-05,0.0001430511474609375
10073,42,Brute Force,0.0009302926063537597,0.0008249282836914062,0.0026061534881591797
10073,21,KMP,0.0012044286727905273,0.0007910728454589844,0.0027778148651123047
10073,21,Boyer-Moore,9.341716766357422e-05,7.009506225585938e-05,0.00022459030151367188
10073,21,Brute Force,0.001626889705657959,0.0008282661437988281,0.003270864486694336
10073,10,KMP,0.0015509867668151856,0.0008099079132080078,0.0030281543731689453
10073,10,Boyer-Moore,0.00016762971878051759,0.00013709068298339844,0.0004489421844482422
10073,10,Brute Force,0.0010552287101745605,0.0008289813995361328,0.0019788742065429688
10073,5,KMP,0.0010217785835266112,0.0007886886596679688,0.0027511119842529297
10073,5,Boyer-Moore,0.0003055477142333984,0.0002377033233642578,0.0007951259613037109
10073,5,Brute Force,0.0013607501983642577,0.0008287429809570312,0.0027658939361572266
10073,24,KMP,0.0011821436882019044,0.0007860660552978516,0.0028204917907714844
10073,24,Boyer-Moore,9.988069534301758e-05,5.14984130859375e-05,0.0001800060272216797
10073,24,Brute Force,0.0007879161834716797,0.000461578369140625,0.0017733573913574219
20121,42,KMP,0.001863555908203125,0.0015597343444824219,0.0057866573333740234
20121,42,Boyer-Moore,8.834123611450195e-05,8.273124694824219e-05,0.00019502639770507812
20121,42,Brute Force,0.0019185805320739745,0.0016591548919677734,0.0057985782623291016
20121,21,KMP,0.0017518353462219237,0.0015718936920166016,0.003612995147705078
20121,21,Boyer-Moore,0.0001446080207824707,0.0001366138458251953,0.00027632713317871094
20121,21,Brute Force,0.0018998074531555176,0.001661539077758789,0.004330873489379883
20121,10,KMP,0.0017844438552856445,0.0015676021575927734,0.0042645931243896484
20121,10,Boyer-Moore,0.0003133964538574219,0.0002760887145996094,0.0011439323425292969
20121,10,Brute Force,0.0018618297576904297,0.0016667842864990234,0.004279613494873047
20121,5,KMP,0.0017223358154296875,0.0015745162963867188,0.004140615463256836
20121,5,Boyer-Moore,0.000496838092803955,0.00046753883361816406,0.0007967948913574219
20121,5,Brute Force,0.001876804828643799,0.0016679763793945312,0.004108905792236328
20121,24,KMP,0.0017722511291503905,0.0015559196472167969,0.003536224365234375
20121,24,Boyer-Moore,1.500844955444336e-05,1.430511474609375e-05,2.765655517578125e-05
20121,24,Brute Force,0.00010734081268310548,8.7738037109375e-05,0.0004372596740722656
100510,42,KMP,0.008832201957702637,0.007879018783569336,0.014481782913208008
100510,42,Boyer-Moore,0.00039624691009521485,0.0003795623779296875,0.0006189346313476562
100510,42,Brute Force,0.00938983917236328,0.008392810821533203,0.012499809265136719
100510,21,KMP,0.00943110704421997,0.008162260055541992,0.012666463851928711
